video_id,title,channel_title,category_id,view_count,like_count,comment_count,title_polarity,title_subjectivity
tiPWzFLiz4A,reneé rapp - leave me alone (official music video),reneé rapp,10,246081,30218,1585,0.0,0.0
xo4rkcC7kFc,zootopia 2 | teaser trailer,walt disney animation studios,1,5495428,110287,0,0.0,0.0
dv6VXSYCZvs,10 new costco deals you need to buy in may 2025,the deal guy,28,530617,29339,455,0.13636363636363635,0.45454545454545453
6mIvD-GN-p4,caught stealing – official trailer (hd),sony pictures entertainment,1,697380,22487,2958,0.0,0.0
yuWXpOW9Kyo,joey bada$$ - crash dummy (official audio),joey bada$$,10,818708,62503,16170,0.0,0.0
6HG-wsRsg8s,it: welcome to derry | official teaser | hbo max,max,24,3013530,101906,6714,0.8,0.9
xqJurrQKNdE,"falling in reverse - ""god is a weapon""",epitaph records,10,1345142,112356,7668,0.0,0.0
ZXc9_u6BYr8,sp png hunters vs norths devils | match highlights | hostplus cup 2025,tvwan online,25,28473,524,44,0.0,0.0
smavD1fopZ8,jurassic world rebirth | official trailer 2,universal pictures,24,3264171,102674,8718,0.0,0.0
tssH0I-NveA,and the winner of the voice is... | the voice live finale | nbc,the voice,22,260070,3462,789,0.13636363636363635,0.5
I9uzpgBiRVc,schlatt's candy tier list,jschlattlive,24,1013971,83850,12746,0.0,0.0
bFs-MULkyME,motion warning sends stranger running | ringtv,ring,28,134702,358,33,0.0,0.0
3Uu-rrJvt7g,cleetus blew up my 1000hp minivan! (severe damage),boostedboikyle,2,304281,25024,2232,0.0,0.0
-VIAsu_G7so,chief of war — official teaser | apple tv+,apple tv,24,678531,16959,1321,0.0,0.0
6rccyIFqIPI,'american idol' winner jamal roberts performs on 'gma',good morning america,24,481306,8161,960,0.0,0.0
dK1W-AViQ-M,war 2 | official teaser | hrithik roshan | ntr | kiara advani | ayan mukerji | yrf spy universe,yrf,1,25845632,783520,47499,0.0,0.0
lIxThTF_vzI,joey bada$$ - my town feat. loaded lux (official audio),joey bada$$,10,744935,53941,11308,0.0,0.0
5wF-XZLHynU,how we make our deadly traps,mrbeast 2,22,7405765,278596,4039,-0.2,0.4
GFOn3frHcLY,state of origin 2025 match highlights | nsw blues v qld maroons | game ii,nrlw - national rugby league women's,17,86296,1004,458,-0.4,0.4
XYy2XPR-cIo,warframe | yareli prime access - available now on all platforms!,playwarframe,20,182542,16339,1365,0.5,0.4
2JCfQR_27Zc,i tried every oreo flavor,babish culinary universe,22,480827,14579,1756,0.0,0.0
LB1NZFplFn0,anslom_waiting for you (official music video),anslom,10,321875,4744,885,0.0,0.0
I65a4O5U_5k,season 04 launch trailer | call of duty: warzone & black ops 6,call of duty,20,112004,5153,633,-0.16666666666666666,0.43333333333333335
xN7ddBuRHyU,"judge weighing throwing out sean ""diddy"" combs trial testimony",cbs news,25,3082165,4048,2068,0.0,0.0
610uuFktYyo,honest trailers | snow white,screen junkies,1,849816,38424,3279,0.3,0.45
